state,year,epi_week,rainfall_mm,rainfall_lag8_mm,rainfall_lta_mm,rainfall_anomaly_pct
Abia,1983,25,31.529032,75.599999875,104.40537,33.3887
Abia,1983,26,116.258064,69.33870962499999,132.72343,88.04462
Abia,1983,28,119.658066,81.281451375,127.95269,93.761215
Abia,1983,29,44.72903,92.09677425,133.24474,35.971737
Abia,1983,31,113.69032,86.73306425,101.247955,111.71069
Abia,1983,32,31.4,87.49435425,103.59075,33.52035
Abia,1983,33,29.36129,84.31128962499999,123.17506,26.808094
Abia,1983,35,92.97419,73.5709665,105.83957,88.39279
Abia,1983,36,129.63226,72.449999,110.082794,116.98731
Abia,1983,38,127.10968,84.7129025,118.14301,107.28151
Abia,1983,39,57.058064,86.0693545,87.55097,67.05285
Abia,1983,41,94.63871,78.24435425,93.42021,101.23806
Abia,1983,42,57.303226,84.48306425,106.78473,55.73501
Abia,1983,44,21.967741,77.4346775,40.66301,59.058178
Abia,1983,45,43.99355,76.255645125,30.770538,136.9662
Abia,1983,47,14.832258,78.084677625,22.34387,72.52908
Abia,1983,48,7.7419353,68.316936125,11.765376,76.00149
Abia,1983,49,7.696774,53.0806455375,3.7548387,145.02577
Abia,1983,51,3.683871,38.1540322875,4.423871,92.1476
Abia,1983,52,2.5677419,31.4822581625,5.7890325,70.14292
Abia,1984,2,2.6258066,19.97338715,5.5174193,72.50644
Abia,1984,3,2.6064515,13.138709725,10.415699,49.342243
Abia,1984,5,8.058064,10.7185485375,12.084731,76.43119
Abia,1984,6,5.6258063,6.2266127875,15.216129,52.56103
Abia,1984,8,5.051613,5.075806324999999,17.004732,45.679325
Abia,1984,9,25.148388,4.7395160375000005,30.776129,84.26956
Abia,1984,10,30.838709,6.9209677875,36.829464,85.67814
Abia,1984,12,59.587097,10.3153225375,44.33871,130.90552
Abia,1984,13,28.812902,17.442741925,53.735912,57.567684
Abia,1984,15,49.974194,20.71612885,61.00839,83.283646
Abia,1984,16,53.70968,26.6370966625,56.888386,94.86381
Abia,1984,18,86.89032,32.3435486625,82.929245,104.504845
Abia,1984,19,80.43226,42.501612875,82.15914,98.0187
Abia,1984,21,79.92903,51.92419375,94.044945,85.74797
Abia,1984,22,62.896774,58.771774,109.787094,59.150185
Abia,1984,24,174.06451,62.77903212499999,104.51398,163.50836
Abia,1984,25,129.13548,77.08870875,104.40537,122.60411
Abia,1984,26,148.55484,89.629031,132.72343,111.49506
Abia,1984,28,170.64516,101.95161175,127.95269,132.11101
Abia,1984,29,113.270966,116.56854675000001,133.24474,85.55187
Abia,1984,31,137.01935,119.8661275,101.247955,133.66783
Abia,1984,32,93.12258,126.93951375,103.59075,90.35998
Abia,1984,34,93.58064,128.5887075,123.17506,76.91095
Abia,1984,35,106.13548,132.42419075,105.83957,100.26697
Abia,1984,37,132.45161,123.933062,110.082794,119.43716
Abia,1984,38,101.37419,124.34757825,118.14301,86.382645
Abia,1984,40,71.84516,118.449997,87.55097,83.0301
Abia,1984,41,80.52903,106.099997,93.42021,86.90189
Abia,1984,42,89.73548,102.007255,106.78473,84.748146
Abia,1984,44,13.825807,96.09677125,40.66301,41.22769
Abia,1984,45,68.787094,86.184674625,30.770538,206.27896
Abia,1984,47,7.819355,83.08548137499999,22.34387,46.882008
Abia,1984,48,3.6,70.79596575000001,11.765376,51.296192
Abia,1984,50,1.1935484,54.6895145,3.7548387,70.744286
Abia,1984,51,5.2645164,42.1669343,4.423871,108.92038
Abia,1985,1,11.812903,33.84435385,5.7890325,155.8333
Abia,1985,2,7.748387,25.254837975,5.5174193,121.21211
Abia,1985,4,11.819355,15.006451349999999,10.415699,109.10537
Abia,1985,5,7.819355,14.75564485,12.084731,75.03398
Abia,1985,7,3.4451613,7.134677475,15.216129,41.774376
Abia,1985,8,2.2903225,6.587903262499999,17.004732,33.130703
Abia,1985,9,27.974194,6.424193574999999,30.776129,92.16814
Abia,1985,11,80.27742,9.771774275,36.829464,203.86928
Abia,1985,12,92.74839,19.148387225,44.33871,198.11703
Abia,1985,14,88.43871,29.2653231,53.735912,159.08276
Abia,1985,15,58.754837,39.351613475,61.00839,96.58596
Abia,1985,16,32.316128,45.218548725,56.888386,60.29585
Abia,1985,18,102.87742,48.28064535,82.929245,122.68662
Abia,1985,19,181.32903,60.709677687500005,82.15914,213.78024
Abia,1985,21,106.451614,83.089516125,94.044945,112.5263
Abia,1985,22,112.76129,92.89919362500001,109.787094,102.59105
Abia,1985,24,95.187096,96.959677375,104.51398,91.48338
Abia,1985,25,115.741936,97.264515625,104.40537,110.361984
Abia,1985,27,135.65807,100.677418875,132.72343,102.13082
Abia,1985,28,81.78065,110.290323,127.95269,65.27182
Abia,1985,29,110.212906,116.47338825,133.24474,83.33981
Abia,1985,31,165.38065,117.39032399999999,101.247955,160.36134
Abia,1985,32,87.16129,115.3967765,103.59075,84.8703
Abia,1985,34,98.02581,112.98548600000001,123.17506,80.37899
Abia,1985,35,125.25161,111.143551,105.83957,117.51364
Abia,1985,37,110.0,114.90161525,110.082794,99.928055
Abia,1985,38,87.94193,114.18387325,118.14301,75.47479
Abia,1985,40,83.92903,108.21935575,87.55097,96.08654
Abia,1985,41,52.92258,108.48790325,93.42021,58.85232
Abia,1985,43,75.22581,101.32661250000001,106.78473,71.76813
Abia,1985,44,37.496773,90.05725749999999,40.66301,93.06608
Abia,1985,46,23.122581,83.849192875,30.770538,78.6194
Abia,1985,47,21.28387,74.48628925,22.34387,96.12344
Abia,1985,48,3.1741936,61.49032175,11.765376,48.756393
Abia,1985,50,5.612903,48.137095949999996,3.7548387,121.22328
Abia,1985,51,1.9096774,37.845967574999996,4.423871,73.32101
Abia,1986,1,5.129032,27.5935485,5.7890325,93.88268
Abia,1986,2,5.7032256,21.619355,5.5174193,101.766655
Abia,1986,4,6.9548388,12.929031949999999,10.415699,77.54977
Abia,1986,5,29.419355,9.111290175,12.084731,201.46268
Abia,1986,7,16.135485,9.898386925,15.216129,104.54763
Abia,1986,8,11.9096775,9.2548388,17.004732,76.84564
Abia,1986,9,27.664516,10.346774287499999,30.776129,91.30254
Abia,1986,11,69.34839,13.103225912500001,36.829464,177.74167
Abia,1986,12,62.51613,21.533064987499998,44.33871,136.8421
Abia,1986,14,36.535484,28.7064522375,53.735912,70.71565
Abia,1986,15,57.07097,32.5604845375,61.00839,94.034966
Abia,1986,17,66.37419,38.8250009375,56.888386,115.32728
Abia,1986,18,70.729034,43.4443553125,82.929245,86.12497
Abia,1986,19,97.18065,50.2685489375,82.15914,117.23457
Abia,1986,21,102.11613,60.9274205,94.044945,108.149
Abia,1986,22,72.69032,70.23387225,109.787094,67.682106
Abia,1986,24,77.88387,70.6516135,104.51398,75.68337
Abia,1986,25,20.496775,72.572581,104.40537,23.304865
Abia,1986,27,169.98709,70.567742375,132.72343,127.05687
Abia,1986,28,159.61935,84.682257375,127.95269,123.81799
Abia,1986,30,92.20645,96.337902375,133.24474,70.31476
Abia,1986,31,59.819355,99.022579375,101.247955,61.007626
Abia,1986,33,44.15484,94.3524175,103.59075,45.266136
Abia,1986,34,148.03226,87.10725625,123.17506,119.39317
Abia,1986,36,69.509674,96.52499875,105.83957,67.22299
Abia,1986,37,96.69678,95.47822425,110.082794,88.36836
Abia,1986,38,99.16129,105.003224875,118.14301,84.58563
Abia,1986,40,96.0,96.14999987499999,87.55097,109.12906
Abia,1986,41,105.18065,88.197581125,93.42021,111.9492
Abia,1986,43,88.283875,89.819356125,106.78473,83.44957
Abia,1986,44,28.68387,93.377421125,40.66301,73.766205
Abia,1986,46,22.883871,91.443549875,30.770538,77.95206
Abia,1986,47,79.90323,75.80000125000001,22.34387,310.50186
Abia,1986,49,2.096774,77.09919575,11.765376,42.32994
Abia,1986,50,0.91612905,65.274195,3.7548387,67.57553
Abia,1986,51,2.8774195,52.99354988125,4.423871,83.59006
